time,gFx,gFy,gFz,TgF
0.83694776,0.0635,0.1776,1.1277,1.143
1.837472916,-0.7730,0.7518,-0.5915,1.230
2.837619426,0.0195,0.8818,0.0248,0.882
3.838421352,-0.5867,0.4397,0.2511,0.775
4.838740362,0.0295,0.4997,0.0728,0.506
5.839003799,0.0215,0.6558,-0.3594,0.748
6.839222653,0.0895,0.8958,-0.2774,0.942
7.839533278,-0.0785,0.6858,-0.1833,0.714
8.83977859,-0.0725,0.6718,-0.2153,0.709
9.840175308,-0.3086,0.6417,-0.1473,0.727
10.840888902,-0.0245,0.7198,-0.1553,0.737
11.841261453,-0.1486,0.6678,-0.2093,0.715
12.846855151,0.0015,0.6598,-0.1393,0.674
13.849883015,-0.0785,0.6497,-0.1213,0.666
14.852482338,-0.2006,0.6718,-0.1773,0.723
15.85558666,0.0535,0.6377,-0.1733,0.663
16.858139941,-0.0245,0.9419,-0.1133,0.949
17.860988847,-0.1486,0.7258,-0.1453,0.755
18.843838274,0.1318,0.6718,-0.1593,0.703
19.844173586,-0.0725,0.6237,-0.1633,0.649
20.844425148,-0.1225,0.6417,-0.2093,0.686
21.844479106,0.0135,0.5997,-0.2113,0.636
22.845133689,0.0055,0.9058,-0.3314,0.965
23.845479886,-0.1606,0.6638,-0.2634,0.732
24.845888428,0.1158,0.8498,-0.2253,0.887
25.846916604,-0.0225,0.7118,-0.1433,0.726
26.847430041,-0.1506,0.6397,-0.2994,0.722
27.847832281,-0.0085,0.6137,-0.2814,0.675
28.848362176,-0.0065,0.6257,-0.2994,0.694
29.848702488,-0.1446,0.6277,-0.1893,0.671
30.848988998,-0.1346,0.7098,-0.4634,0.858
31.849376758,-0.0605,0.6718,-0.3134,0.744
32.849678268,-0.0925,0.6357,-0.2513,0.690
33.849756601,-0.0965,0.5957,-0.3954,0.721
34.849914309,0.2438,0.6758,-0.2934,0.776
35.855319465,0.0635,0.7258,-0.3014,0.788
36.8555466,-0.2146,0.6117,-0.3434,0.734
37.860358735,-0.0145,0.5597,-0.2694,0.621
38.863495401,-0.0305,0.6618,-0.2714,0.716
39.86624113,-0.1766,0.6037,-0.2614,0.681
40.86782889,-0.1826,0.5977,-0.4034,0.744
41.857077327,0.0195,0.6377,-0.3094,0.709
42.857597067,-0.1826,0.5757,-0.3574,0.702
43.857960504,-0.2146,0.6197,-0.3454,0.741
44.858200295,0.2298,0.6157,-0.3714,0.755
45.858771857,0.2959,-0.3809,-1.1099,1.210
46.859104721,0.4539,-0.5470,-1.0119,1.237
47.859352429,-0.1966,0.6638,-0.6335,0.938
48.859671596,0.0615,0.6197,-0.6175,0.877
49.859997637,0.1098,0.7558,-0.6155,0.981
50.860251647,0.5099,-0.5590,-1.0599,1.302
51.860793209,0.3419,-0.3569,-1.0299,1.142
52.861146438,-0.0985,0.6618,-0.6795,0.954
53.861373833,0.0755,0.6197,-0.6355,0.891
54.862045916,0.0515,0.6297,-0.7858,1.008
55.862508676,-0.1025,0.1175,-0.9459,0.959
56.863107842,0.5920,-0.8053,-1.0579,1.455
57.877753988,-0.0145,0.1295,-0.9179,0.927
58.881386123,0.0835,0.6257,-0.7235,0.960
59.882038466,-0.1466,0.6257,-0.5215,0.828
60.865320081,-0.1205,0.5877,-0.7818,0.985
61.866256382,0.4599,-0.7330,-1.0059,1.327
62.866623934,0.1778,-0.3049,-1.0219,1.081
63.866798881,-0.0185,0.4177,-0.9459,1.034
64.867381433,0.2098,0.6037,-0.6575,0.917
65.867901537,0.0955,0.0573,-0.9018,0.909
66.868089141,0.5580,-0.8313,-0.9399,1.373
67.868584974,0.0975,-0.0688,-0.9699,0.977
68.868825859,0.1035,0.5597,-0.6375,0.855
69.868944921,-0.2246,0.5957,-0.6055,0.879
70.86950867,0.0855,-0.2528,-0.9639,1.000
71.870169399,0.4679,-0.8593,-0.8898,1.323
72.870343878,0.2218,-0.3289,-1.0439,1.117
73.870830961,-0.2066,0.5717,-0.6995,0.927
74.870787002,0.1118,0.5717,-0.5595,0.808
75.871029658,0.0935,0.2256,-0.6315,0.677
76.875134397,0.3679,1.0281,-1.0319,1.502
77.878584657,0.0215,0.0333,-0.9739,0.975
78.880831428,-0.0265,-0.1068,-0.9779,0.984
79.883004396,-0.4167,-0.8573,-0.8978,1.309
80.884867104,-0.1506,0.6117,-0.5955,0.867
81.873275593,-0.0045,0.6097,-0.6455,0.888
82.874121478,0.1298,-0.3369,-1.0499,1.110
83.875157676,0.1958,-0.8213,-1.0939,1.382
84.87552679,0.0135,-0.7150,-1.1720,1.373
85.876044029,-0.3486,-0.8573,-1.4541,1.724
86.87702231,-0.2606,0.4137,-1.0019,1.115
87.877586945,-0.1265,0.6177,-0.8998,1.099
88.877882153,0.2779,0.2616,-0.7335,0.827
89.878271059,0.2198,-0.8233,-0.4474,0.962
90.878634913,0.0055,-0.7330,-0.6995,1.013
91.878821683,-0.0525,-0.8713,-0.1893,0.893
92.879154339,0.0135,0.1416,-0.9219,0.933
93.87949486,-0.0485,0.6417,-0.6715,0.930
94.879852984,-0.0865,0.6377,-0.6115,0.888
95.880420901,0.0295,0.4197,-0.7435,0.854
96.882026786,-0.0905,-0.0848,-1.0139,1.021
97.882677619,-0.4267,-0.3469,-0.7998,0.971
98.883046368,-0.1486,-0.7130,-0.8618,1.128
99.883306941,-0.0985,0.5977,-0.5675,0.830
100.885590586,0.0115,0.5157,-0.7175,0.884
101.904715065,0.1238,-0.0388,-0.8818,0.891
102.884636887,-0.1706,-0.2609,-0.9719,1.021
103.884983189,-0.0805,-0.5009,-1.1880,1.292
104.885314074,-0.1546,0.3276,-0.8098,0.887
105.885819907,-0.0965,0.6117,-0.4294,0.754
106.886099125,0.0455,0.1516,-0.7958,0.811
107.886399021,0.3699,-0.1568,0.5112,0.650
108.888105635,-0.1185,0.1053,0.9876,1.000
